"시점","항목","업태별",데이터
"2019. 09","불변지수","가전·컴퓨터·통신기기 소매점",84.5
"2019. 09","불변지수","의복·신발·가방 소매점",90.1
"2019. 09","불변지수","음식·가정· 문화상품 소매점",87.2
"2019. 09","불변지수","의약품·화장품·기타상품 소매점",102.9
"2019. 09","불변지수","무점포 소매",162.2
"2019. 09","불변지수","인터넷 쇼핑",203.8
"2019. 09","불변지수","홈쇼핑",124.4
"2019. 09","불변지수","방문 및 배달 소매점",81.4
"2019. 10","불변지수","총지수",115.7
"2019. 10","불변지수","백화점",106.5
"2019. 10","불변지수","대형마트",85.5
"2019. 10","불변지수","면세점",291.8
"2019. 10","불변지수","슈퍼마켓 및 잡화점",91.5
"2019. 10","불변지수","체인 슈퍼마켓",102.0
"2019. 10","불변지수","일반 슈퍼마켓 및 잡화점",86.0
"2019. 10","불변지수","편의점",158.3
"2019. 10","불변지수","승용차 및 연료 소매점",116.6
"2019. 10","불변지수","승용차 소매점",124.9
"2019. 10","불변지수","연료 소매점",109.1
"2019. 10","불변지수","전문소매점",96.0
"2019. 10","불변지수","가전·컴퓨터·통신기기 소매점",91.7
"2019. 10","불변지수","의복·신발·가방 소매점",103.4
"2019. 10","불변지수","음식·가정· 문화상품 소매점",82.2
"2019. 10","불변지수","의약품·화장품·기타상품 소매점",105.9
"2019. 10","불변지수","무점포 소매",172.6
"2019. 10","불변지수","인터넷 쇼핑",215.3
"2019. 10","불변지수","홈쇼핑",139.0
"2019. 10","불변지수","방문 및 배달 소매점",82.9
"2019. 11","불변지수","총지수",120.4
"2019. 11","불변지수","백화점",117.1
"2019. 11","불변지수","대형마트",90.5
"2019. 11","불변지수","면세점",305.1
"2019. 11","불변지수","슈퍼마켓 및 잡화점",92.5
"2019. 11","불변지수","체인 슈퍼마켓",102.7
"2019. 11","불변지수","일반 슈퍼마켓 및 잡화점",87.2
"2019. 11","불변지수","편의점",150.2
"2019. 11","불변지수","승용차 및 연료 소매점",119.8
"2019. 11","불변지수","승용차 소매점",129.5
"2019. 11","불변지수","연료 소매점",110.9
"2019. 11","불변지수","전문소매점",99.3
"2019. 11","불변지수","가전·컴퓨터·통신기기 소매점",96.9
"2019. 11","불변지수","의복·신발·가방 소매점",112.7
"2019. 11","불변지수","음식·가정· 문화상품 소매점",79.9
"2019. 11","불변지수","의약품·화장품·기타상품 소매점",107.1
"2019. 11","불변지수","무점포 소매",186.7
"2019. 11","불변지수","인터넷 쇼핑",241.3
"2019. 11","불변지수","홈쇼핑",138.9
"2019. 11","불변지수","방문 및 배달 소매점",78.3
"2019. 12","불변지수","총지수",121.6
"2019. 12","불변지수","백화점",114.1
"2019. 12","불변지수","대형마트",95.2
"2019. 12","불변지수","면세점",302.7
"2019. 12","불변지수","슈퍼마켓 및 잡화점",93.4
"2019. 12","불변지수","체인 슈퍼마켓",103.5
"2019. 12","불변지수","일반 슈퍼마켓 및 잡화점",88.1
"2019. 12","불변지수","편의점",147.2
"2019. 12","불변지수","승용차 및 연료 소매점",130.0
"2019. 12","불변지수","승용차 소매점",147.9
"2019. 12","불변지수","연료 소매점",113.6
"2019. 12","불변지수","전문소매점",97.8
"2019. 12","불변지수","가전·컴퓨터·통신기기 소매점",89.7
"2019. 12","불변지수","의복·신발·가방 소매점",102.2
"2019. 12","불변지수","음식·가정· 문화상품 소매점",87.4
"2019. 12","불변지수","의약품·화장품·기타상품 소매점",110.1
"2019. 12","불변지수","무점포 소매",180.8
"2019. 12","불변지수","인터넷 쇼핑",231.0
"2019. 12","불변지수","홈쇼핑",138.1
"2019. 12","불변지수","방문 및 배달 소매점",79.3
"2020. 01","불변지수","총지수",111.6
