"시점","항목","업태별",데이터
"2018. 03","불변지수","슈퍼마켓 및 잡화점",97.7
"2018. 03","불변지수","체인 슈퍼마켓",100.6
"2018. 03","불변지수","일반 슈퍼마켓 및 잡화점",96.1
"2018. 03","불변지수","편의점",140.0
"2018. 03","불변지수","승용차 및 연료 소매점",113.7
"2018. 03","불변지수","승용차 소매점",125.2
"2018. 03","불변지수","연료 소매점",103.1
"2018. 03","불변지수","전문소매점",102.3
"2018. 03","불변지수","가전·컴퓨터·통신기기 소매점",113.9
"2018. 03","불변지수","의복·신발·가방 소매점",105.4
"2018. 03","불변지수","음식·가정· 문화상품 소매점",89.3
"2018. 03","불변지수","의약품·화장품·기타상품 소매점",104.9
"2018. 03","불변지수","무점포 소매",147.4
"2018. 03","불변지수","인터넷 쇼핑",173.5
"2018. 03","불변지수","홈쇼핑",128.5
"2018. 03","불변지수","방문 및 배달 소매점",90.2
"2018. 04","불변지수","총지수",109.9
"2018. 04","불변지수","백화점",96.3
"2018. 04","불변지수","대형마트",90.3
"2018. 04","불변지수","면세점",215.2
"2018. 04","불변지수","슈퍼마켓 및 잡화점",96.9
"2018. 04","불변지수","체인 슈퍼마켓",99.6
"2018. 04","불변지수","일반 슈퍼마켓 및 잡화점",95.5
"2018. 04","불변지수","편의점",140.5
"2018. 04","불변지수","승용차 및 연료 소매점",110.2
"2018. 04","불변지수","승용차 소매점",121.0
"2018. 04","불변지수","연료 소매점",100.4
"2018. 04","불변지수","전문소매점",99.4
"2018. 04","불변지수","가전·컴퓨터·통신기기 소매점",105.5
"2018. 04","불변지수","의복·신발·가방 소매점",102.1
"2018. 04","불변지수","음식·가정· 문화상품 소매점",86.2
"2018. 04","불변지수","의약품·화장품·기타상품 소매점",106.5
"2018. 04","불변지수","무점포 소매",143.1
"2018. 04","불변지수","인터넷 쇼핑",167.1
"2018. 04","불변지수","홈쇼핑",125.4
"2018. 04","불변지수","방문 및 배달 소매점",91.0
"2018. 05","불변지수","총지수",112.8
"2018. 05","불변지수","백화점",101.8
"2018. 05","불변지수","대형마트",95.8
"2018. 05","불변지수","면세점",213.0
"2018. 05","불변지수","슈퍼마켓 및 잡화점",102.7
"2018. 05","불변지수","체인 슈퍼마켓",107.3
"2018. 05","불변지수","일반 슈퍼마켓 및 잡화점",100.3
"2018. 05","불변지수","편의점",149.9
"2018. 05","불변지수","승용차 및 연료 소매점",110.1
"2018. 05","불변지수","승용차 소매점",118.2
"2018. 05","불변지수","연료 소매점",102.7
"2018. 05","불변지수","전문소매점",101.5
"2018. 05","불변지수","가전·컴퓨터·통신기기 소매점",113.7
"2018. 05","불변지수","의복·신발·가방 소매점",106.0
"2018. 05","불변지수","음식·가정· 문화상품 소매점",82.8
"2018. 05","불변지수","의약품·화장품·기타상품 소매점",108.3
"2018. 05","불변지수","무점포 소매",147.6
"2018. 05","불변지수","인터넷 쇼핑",172.1
"2018. 05","불변지수","홈쇼핑",131.6
"2018. 05","불변지수","방문 및 배달 소매점",91.7
"2018. 06","불변지수","총지수",108.7
"2018. 06","불변지수","백화점",89.3
"2018. 06","불변지수","대형마트",97.7
"2018. 06","불변지수","면세점",203.8
"2018. 06","불변지수","슈퍼마켓 및 잡화점",103.7
"2018. 06","불변지수","체인 슈퍼마켓",108.9
"2018. 06","불변지수","일반 슈퍼마켓 및 잡화점",100.9
"2018. 06","불변지수","편의점",154.0
"2018. 06","불변지수","승용차 및 연료 소매점",108.3
"2018. 06","불변지수","승용차 소매점",117.5
"2018. 06","불변지수","연료 소매점",99.9
"2018. 06","불변지수","전문소매점",95.2
"2018. 06","불변지수","가전·컴퓨터·통신기기 소매점",109.0
"2018. 06","불변지수","의복·신발·가방 소매점",92.4
"2018. 06","불변지수","음식·가정· 문화상품 소매점",79.8
"2018. 06","불변지수","의약품·화장품·기타상품 소매점",105.8
"2018. 06","불변지수","무점포 소매",139.3
"2018. 06","불변지수","인터넷 쇼핑",163.0
"2018. 06","불변지수","홈쇼핑",123.8
"2018. 06","불변지수","방문 및 배달 소매점",85.3
"2018. 07","불변지수","총지수",110.8
"2018. 07","불변지수","백화점",91.1
"2018. 07","불변지수","대형마트",104.2
"2018. 07","불변지수","면세점",201.2
"2018. 07","불변지수","슈퍼마켓 및 잡화점",105.9
"2018. 07","불변지수","체인 슈퍼마켓",113.4
"2018. 07","불변지수","일반 슈퍼마켓 및 잡화점",101.9
"2018. 07","불변지수","편의점",157.9
"2018. 07","불변지수","승용차 및 연료 소매점",109.4
"2018. 07","불변지수","승용차 소매점",114.2
"2018. 07","불변지수","연료 소매점",104.9
"2018. 07","불변지수","전문소매점",95.2
"2018. 07","불변지수","가전·컴퓨터·통신기기 소매점",118.5
"2018. 07","불변지수","의복·신발·가방 소매점",87.8
"2018. 07","불변지수","음식·가정· 문화상품 소매점",79.2
"2018. 07","불변지수","의약품·화장품·기타상품 소매점",104.8
"2018. 07","불변지수","무점포 소매",147.6
"2018. 07","불변지수","인터넷 쇼핑",178.9
"2018. 07","불변지수","홈쇼핑",119.9
"2018. 07","불변지수","방문 및 배달 소매점",85.9
"2018. 08","불변지수","총지수",107.0
"2018. 08","불변지수","백화점",84.8
"2018. 08","불변지수","대형마트",97.4
"2018. 08","불변지수","면세점",222.3
"2018. 08","불변지수","슈퍼마켓 및 잡화점",104.6
"2018. 08","불변지수","체인 슈퍼마켓",113.1
"2018. 08","불변지수","일반 슈퍼마켓 및 잡화점",100.2
"2018. 08","불변지수","편의점",156.0
"2018. 08","불변지수","승용차 및 연료 소매점",107.0
"2018. 08","불변지수","승용차 소매점",108.1
"2018. 08","불변지수","연료 소매점",106.1
"2018. 08","불변지수","전문소매점",91.3
"2018. 08","불변지수","가전·컴퓨터·통신기기 소매점",120.2
"2018. 08","불변지수","의복·신발·가방 소매점",76.8
"2018. 08","불변지수","음식·가정· 문화상품 소매점",78.4
"2018. 08","불변지수","의약품·화장품·기타상품 소매점",101.6
"2018. 08","불변지수","무점포 소매",136.8
"2018. 08","불변지수","인터넷 쇼핑",162.2
"2018. 08","불변지수","홈쇼핑",117.8
"2018. 08","불변지수","방문 및 배달 소매점",82.1
"2018. 09","불변지수","총지수",110.0
"2018. 09","불변지수","백화점",105.1
"2018. 09","불변지수","대형마트",110.6
"2018. 09","불변지수","면세점",224.7
"2018. 09","불변지수","슈퍼마켓 및 잡화점",107.5
"2018. 09","불변지수","체인 슈퍼마켓",122.3
"2018. 09","불변지수","일반 슈퍼마켓 및 잡화점",99.7
"2018. 09","불변지수","편의점",149.3
"2018. 09","불변지수","승용차 및 연료 소매점",96.1
"2018. 09","불변지수","승용차 소매점",91.1
"2018. 09","불변지수","연료 소매점",100.7
"2018. 09","불변지수","전문소매점",98.2
"2018. 09","불변지수","가전·컴퓨터·통신기기 소매점",95.3
"2018. 09","불변지수","의복·신발·가방 소매점",102.3
"2018. 09","불변지수","음식·가정· 문화상품 소매점",93.7
"2018. 09","불변지수","의약품·화장품·기타상품 소매점",100.5
"2018. 09","불변지수","무점포 소매",140.5
"2018. 09","불변지수","인터넷 쇼핑",166.3
"2018. 09","불변지수","홈쇼핑",118.0
"2018. 09","불변지수","방문 및 배달 소매점",89.2
"2018. 10","불변지수","총지수",113.6
"2018. 10","불변지수","백화점",109.2
"2018. 10","불변지수","대형마트",86.9
"2018. 10","불변지수","면세점",215.5
"2018. 10","불변지수","슈퍼마켓 및 잡화점",94.8
"2018. 10","불변지수","체인 슈퍼마켓",99.7
"2018. 10","불변지수","일반 슈퍼마켓 및 잡화점",92.2
"2018. 10","불변지수","편의점",148.8
"2018. 10","불변지수","승용차 및 연료 소매점",112.1
"2018. 10","불변지수","승용차 소매점",115.7
"2018. 10","불변지수","연료 소매점",108.9
"2018. 10","불변지수","전문소매점",101.6
"2018. 10","불변지수","가전·컴퓨터·통신기기 소매점",98.6
"2018. 10","불변지수","의복·신발·가방 소매점",119.4
"2018. 10","불변지수","음식·가정· 문화상품 소매점",84.5
"2018. 10","불변지수","의약품·화장품·기타상품 소매점",102.4
"2018. 10","불변지수","무점포 소매",158.2
"2018. 10","불변지수","인터넷 쇼핑",189.2
"2018. 10","불변지수","홈쇼핑",140.1
"2018. 10","불변지수","방문 및 배달 소매점",84.8
"2018. 11","불변지수","총지수",116.2
"2018. 11","불변지수","백화점",112.5
"2018. 11","불변지수","대형마트",87.3
"2018. 11","불변지수","면세점",217.7
"2018. 11","불변지수","슈퍼마켓 및 잡화점",95.7
"2018. 11","불변지수","체인 슈퍼마켓",100.9
"2018. 11","불변지수","일반 슈퍼마켓 및 잡화점",92.9
"2018. 11","불변지수","편의점",141.9
"2018. 11","불변지수","승용차 및 연료 소매점",114.4
"2018. 11","불변지수","승용차 소매점",120.4
"2018. 11","불변지수","연료 소매점",108.9
"2018. 11","불변지수","전문소매점",104.4
"2018. 11","불변지수","가전·컴퓨터·통신기기 소매점",111.3
"2018. 11","불변지수","의복·신발·가방 소매점",122.6
"2018. 11","불변지수","음식·가정· 문화상품 소매점",84.2
"2018. 11","불변지수","의약품·화장품·기타상품 소매점",101.3
"2018. 11","불변지수","무점포 소매",167.1
"2018. 11","불변지수","인터넷 쇼핑",208.2
"2018. 11","불변지수","홈쇼핑",135.3
"2018. 11","불변지수","방문 및 배달 소매점",79.8
"2018. 12","불변지수","총지수",116.4
"2018. 12","불변지수","백화점",118.0
"2018. 12","불변지수","대형마트",98.8
"2018. 12","불변지수","면세점",211.4
"2018. 12","불변지수","슈퍼마켓 및 잡화점",98.2
"2018. 12","불변지수","체인 슈퍼마켓",108.2
"2018. 12","불변지수","일반 슈퍼마켓 및 잡화점",93.0
"2018. 12","불변지수","편의점",137.8
"2018. 12","불변지수","승용차 및 연료 소매점",114.9
"2018. 12","불변지수","승용차 소매점",118.8
"2018. 12","불변지수","연료 소매점",111.4
"2018. 12","불변지수","전문소매점",102.5
"2018. 12","불변지수","가전·컴퓨터·통신기기 소매점",96.9
"2018. 12","불변지수","의복·신발·가방 소매점",114.6
"2018. 12","불변지수","음식·가정· 문화상품 소매점",89.6
"2018. 12","불변지수","의약품·화장품·기타상품 소매점",106.8
"2018. 12","불변지수","무점포 소매",163.1
"2018. 12","불변지수","인터넷 쇼핑",203.1
"2018. 12","불변지수","홈쇼핑",136.2
"2018. 12","불변지수","방문 및 배달 소매점",72.7
"2019. 01","불변지수","총지수",109.8
"2019. 01","불변지수","백화점",98.7
"2019. 01","불변지수","대형마트",103.0
"2019. 01","불변지수","면세점",227.1
"2019. 01","불변지수","슈퍼마켓 및 잡화점",95.6
"2019. 01","불변지수","체인 슈퍼마켓",110.0
"2019. 01","불변지수","일반 슈퍼마켓 및 잡화점",88.0
"2019. 01","불변지수","편의점",136.0
"2019. 01","불변지수","승용차 및 연료 소매점",101.8
"2019. 01","불변지수","승용차 소매점",99.6
"2019. 01","불변지수","연료 소매점",103.8
"2019. 01","불변지수","전문소매점",93.5
"2019. 01","불변지수","가전·컴퓨터·통신기기 소매점",90.1
"2019. 01","불변지수","의복·신발·가방 소매점",94.3
"2019. 01","불변지수","음식·가정· 문화상품 소매점",85.3
"2019. 01","불변지수","의약품·화장품·기타상품 소매점",104.0
"2019. 01","불변지수","무점포 소매",166.5
"2019. 01","불변지수","인터넷 쇼핑",201.7
"2019. 01","불변지수","홈쇼핑",139.4
"2019. 01","불변지수","방문 및 배달 소매점",91.8
"2019. 02","불변지수","총지수",99.8
"2019. 02","불변지수","백화점",91.0
"2019. 02","불변지수","대형마트",88.5
"2019. 02","불변지수","면세점",230.4
"2019. 02","불변지수","슈퍼마켓 및 잡화점",88.8
"2019. 02","불변지수","체인 슈퍼마켓",102.7
"2019. 02","불변지수","일반 슈퍼마켓 및 잡화점",81.5
"2019. 02","불변지수","편의점",124.3
"2019. 02","불변지수","승용차 및 연료 소매점",93.4
"2019. 02","불변지수","승용차 소매점",88.5
"2019. 02","불변지수","연료 소매점",97.9
"2019. 02","불변지수","전문소매점",86.4
"2019. 02","불변지수","가전·컴퓨터·통신기기 소매점",82.6
"2019. 02","불변지수","의복·신발·가방 소매점",87.7
"2019. 02","불변지수","음식·가정· 문화상품 소매점",78.4
"2019. 02","불변지수","의약품·화장품·기타상품 소매점",96.3
"2019. 02","불변지수","무점포 소매",142.0
"2019. 02","불변지수","인터넷 쇼핑",175.8
"2019. 02","불변지수","홈쇼핑",113.3
"2019. 02","불변지수","방문 및 배달 소매점",73.4
"2019. 03","불변지수","총지수",116.0
"2019. 03","불변지수","백화점",107.3
"2019. 03","불변지수","대형마트",95.8
"2019. 03","불변지수","면세점",285.4
"2019. 03","불변지수","슈퍼마켓 및 잡화점",93.0
"2019. 03","불변지수","체인 슈퍼마켓",102.7
"2019. 03","불변지수","일반 슈퍼마켓 및 잡화점",88.0
"2019. 03","불변지수","편의점",144.7
"2019. 03","불변지수","승용차 및 연료 소매점",110.8
"2019. 03","불변지수","승용차 소매점",116.8
"2019. 03","불변지수","연료 소매점",105.3
"2019. 03","불변지수","전문소매점",100.8
